#l b boxsize ext_law ejk ak error_ejk
4.8990 3.5930 2 2 0.5248 0.2770 0.1009
4.8990 3.5430 2 2 0.5548 0.2930 0.0998
4.8990 3.4920 2 2 0.5230 0.2762 0.1056
4.8990 3.4420 2 2 0.4925 0.2600 0.0996
4.8990 3.3920 2 2 0.4950 0.2612 0.1090
4.8990 3.3420 2 2 0.5108 0.2695 0.1087
4.8990 3.2910 2 2 0.4745 0.2505 0.1022
4.8990 3.2410 2 2 0.4365 0.2305 0.0976
4.8990 3.1910 2 2 0.4250 0.2243 0.0985
4.8990 3.1410 2 2 0.4105 0.2165 0.0998
4.8990 3.0900 2 2 0.3800 0.2005 0.1052
4.8990 3.0400 2 2 0.3868 0.2045 0.1023
4.8990 2.9900 2 2 0.4100 0.2167 0.1060
4.8990 2.9400 2 2 0.3863 0.2040 0.0989
4.8990 2.8890 2 2 0.4008 0.2117 0.1043
4.8990 2.8390 2 2 0.4108 0.2167 0.1028
4.8990 2.7890 2 2 0.3925 0.2070 0.1036
4.8990 2.7390 2 2 0.4240 0.2238 0.1010
4.8990 2.6880 2 2 0.3995 0.2110 0.1035
4.8990 2.6380 2 2 0.4252 0.2245 0.1118
4.8990 2.5880 2 2 0.4540 0.2395 0.1007
4.8990 2.5380 2 2 0.4575 0.2417 0.1038
4.8990 2.4870 2 2 0.4478 0.2362 0.1098
4.8990 2.4370 2 2 0.4695 0.2477 0.1097
4.8990 2.3870 2 2 0.4723 0.2492 0.1002
4.8990 2.3370 2 2 0.5038 0.2658 0.1168
4.8990 2.2860 2 2 0.6735 0.3558 0.1385
4.8990 2.2360 2 2 0.6265 0.3305 0.1347
4.8990 2.1860 2 2 0.5535 0.2923 0.1199
4.8990 2.1360 2 2 0.4900 0.2588 0.1132
4.8990 2.0850 2 2 0.5200 0.2745 0.1171
4.8990 2.0350 2 2 0.5615 0.2965 0.1108
4.8990 1.9850 2 2 0.5565 0.2940 0.1057
4.8990 1.9350 2 2 0.5892 0.3112 0.1177
4.8990 1.8840 2 2 0.5635 0.2975 0.1090
4.8990 1.8340 2 2 0.5950 0.3140 0.1114
4.8990 1.7840 2 2 0.6542 0.3452 0.1064
4.8990 1.7340 2 2 0.6788 0.3582 0.1128
4.8990 1.6830 2 2 0.7082 0.3738 0.1157
4.8990 1.6330 2 2 0.7933 0.4187 0.1193
4.8990 1.5830 2 2 0.7518 0.3968 0.1147
4.8990 1.5330 2 2 0.7270 0.3840 0.1237
4.8990 1.4820 2 2 0.7195 0.3797 0.1221
4.8990 1.4320 2 2 0.7810 0.4123 0.1153
4.8990 1.3820 2 2 0.8470 0.4475 0.1215
4.8990 1.3320 2 2 0.8658 0.4572 0.1160
4.8990 1.2810 2 2 0.8960 0.4730 0.1088
4.8990 1.2310 2 2 0.9485 0.5005 0.1198
4.8990 1.1810 2 2 1.0350 0.5465 0.1143
4.8990 1.1310 2 2 1.1482 0.6060 0.1497
4.8990 1.0800 2 2 1.1623 0.6135 0.1428
4.8990 1.0300 2 2 1.3013 0.6870 0.1793
4.8990 0.9800 2 2 1.2560 0.6633 0.1954
4.8990 0.9300 2 2 1.1720 0.6188 0.1618
4.8990 0.8790 2 2 1.1765 0.6212 0.1460
4.8990 0.8290 2 2 1.2277 0.6482 0.1503
4.8990 0.7790 2 2 1.3733 0.7252 0.1518
4.8990 0.7290 2 2 1.5450 0.8160 0.1771
4.8990 0.6780 2 2 1.9025 1.0045 0.2292
4.8990 0.6280 2 2 1.8190 0.9605 0.1928
4.8990 0.5780 2 2 1.7320 0.9145 0.1880
4.8990 0.5280 2 2 1.8370 0.9700 0.2520
4.8990 0.4770 2 2 1.9610 1.0355 0.2539
4.8990 0.4270 2 2 2.0770 1.0965 0.3008
4.8990 0.3770 2 2 2.2340 1.1800 0.2811
4.8990 0.3270 2 2 2.6305 1.3890 0.3129
4.8990 0.2760 2 2 3.2350 1.7080 0.7851
4.8990 0.2260 2 2 3.7965 2.0045 0.4593
4.8990 0.1760 2 2 3.4415 1.8170 0.7900
4.8990 0.1260 2 2 3.0740 1.6230 0.7499
4.8990 0.0750 2 2 3.2610 1.7220 0.8587
4.8990 0.0250 2 2 3.1825 1.6805 0.4435
4.8990 -0.0250 2 2 3.1345 1.6550 0.6672
4.8990 -0.0750 2 2 3.5805 1.8905 1.1176
4.8990 -0.1260 2 2 3.7270 1.9680 0.2960
4.8990 -0.1760 2 2 2.7815 1.4685 0.8916
4.8990 -0.2260 2 2 2.5335 1.3375 0.4844
4.8990 -0.2760 2 2 2.3700 1.2515 0.5519
4.8990 -0.3270 2 2 2.5970 1.3715 0.6832
4.8990 -0.3770 2 2 2.1650 1.1430 0.2720
4.8990 -0.4270 2 2 2.1550 1.1380 0.3280
4.8990 -0.4770 2 2 2.2160 1.1700 0.3169
4.8990 -0.5280 2 2 2.0505 1.0825 0.3361
4.8990 -0.5780 2 2 2.1590 1.1400 0.4217
4.8990 -0.6280 2 2 1.9800 1.0455 0.4003
4.8990 -0.6780 2 2 2.1100 1.1140 0.5828
4.8990 -0.7290 2 2 2.1830 1.1525 0.7044
4.8990 -0.7790 2 2 1.8940 1.0000 0.6079
4.8990 -0.8290 2 2 1.7940 0.9470 0.4947
4.8990 -0.8790 2 2 1.7190 0.9080 0.4295
4.8990 -0.9300 2 2 1.9395 1.0240 0.4044
4.8990 -0.9800 2 2 1.8735 0.9890 0.4121
4.8990 -1.0300 2 2 1.5405 0.8135 0.2901
4.8990 -1.0800 2 2 1.4395 0.7600 0.2773
4.8990 -1.1310 2 2 1.4750 0.7790 0.2558
4.8990 -1.1810 2 2 1.4010 0.7400 0.2490
4.8990 -1.2310 2 2 1.4430 0.7620 0.2457
4.8990 -1.2810 2 2 1.5430 0.8145 0.2632
4.8990 -1.3320 2 2 1.7100 0.9030 0.3444
4.8990 -1.3820 2 2 1.4690 0.7755 0.3292
4.8990 -1.4320 2 2 1.3660 0.7210 0.2708
4.8990 -1.4820 2 2 1.1833 0.6247 0.2136
4.8990 -1.5330 2 2 1.0617 0.5605 0.2164
4.8990 -1.5830 2 2 0.9832 0.5190 0.1674
4.8990 -1.6330 2 2 0.9780 0.5163 0.1829
4.8990 -1.6830 2 2 0.9738 0.5140 0.1786
4.8990 -1.7340 2 2 0.8978 0.4740 0.1783
4.8990 -1.7840 2 2 0.8347 0.4408 0.1621
4.8990 -1.8340 2 2 0.9002 0.4755 0.1629
4.8990 -1.8840 2 2 0.8788 0.4640 0.1715
4.8990 -1.9350 2 2 0.9912 0.5232 0.1678
4.8990 -1.9850 2 2 0.9670 0.5105 0.1585
4.8990 -2.0350 2 2 0.8872 0.4685 0.1694
4.8990 -2.0850 2 2 0.7388 0.3900 0.1475
4.8990 -2.1360 2 2 0.6825 0.3602 0.1305
4.8990 -2.1860 2 2 0.6232 0.3293 0.1201
4.8990 -2.2360 2 2 0.5797 0.3062 0.1141
4.8990 -2.2860 2 2 0.5702 0.3010 0.1158
4.8990 -2.3370 2 2 0.5465 0.2885 0.1169
4.8990 -2.3870 2 2 0.6070 0.3205 0.1213
4.8990 -2.4370 2 2 0.5697 0.3008 0.1221
4.8990 -2.4870 2 2 0.6042 0.3190 0.1170
4.8990 -2.5380 2 2 0.5345 0.2823 0.1277
4.8990 -2.5880 2 2 0.4637 0.2447 0.1284
4.8990 -2.6380 2 2 0.4978 0.2628 0.1146
4.8990 -2.6880 2 2 0.5072 0.2678 0.1086
4.8990 -2.7390 2 2 0.4535 0.2395 0.1109
4.8990 -2.7890 2 2 0.4345 0.2295 0.1102
4.8990 -2.8390 2 2 0.4247 0.2240 0.1066
4.8990 -2.8890 2 2 0.4202 0.2220 0.1097
4.8990 -2.9400 2 2 0.4135 0.2182 0.1111
4.8990 -2.9900 2 2 0.4440 0.2347 0.1182
4.8990 -3.0400 2 2 0.4198 0.2220 0.1112
4.8990 -3.0900 2 2 0.4105 0.2167 0.1123
4.8990 -3.1410 2 2 0.3483 0.1840 0.1135
4.8990 -3.1910 2 2 0.3445 0.1820 0.0994
4.8990 -3.2410 2 2 0.3315 0.1750 0.1067
4.8990 -3.2910 2 2 0.3130 0.1653 0.1023
4.8990 -3.3420 2 2 0.2923 0.1545 0.0996
4.8990 -3.3920 2 2 0.2917 0.1542 0.1024
4.8990 -3.4420 2 2 0.3040 0.1603 0.1031
4.8990 -3.4920 2 2 0.3065 0.1618 0.1014
4.8990 -3.5430 2 2 0.3012 0.1590 0.1022
4.8990 -3.5930 2 2 0.2840 0.1498 0.1028
4.8990 -3.6430 2 2 0.2722 0.1438 0.0987
4.8990 -3.6930 2 2 0.2738 0.1445 0.0992
4.8990 -3.7440 2 2 0.2800 0.1480 0.1011
4.8990 -3.7940 2 2 0.2772 0.1462 0.0999
4.8990 -3.8440 2 2 0.2768 0.1462 0.0997
